"scenario","year","variable","value","units","run_number"
"SSP1-1.9",1745,"CO2_concentration",277.15,"ppmv CO2",1
"SSP1-1.9",1746,"CO2_concentration",277.187612484715,"ppmv CO2",1
"SSP1-1.9",1747,"CO2_concentration",277.221386320339,"ppmv CO2",1
"SSP1-1.9",1748,"CO2_concentration",277.25278948484,"ppmv CO2",1
"SSP1-1.9",1749,"CO2_concentration",277.282330147415,"ppmv CO2",1
"SSP1-1.9",1750,"CO2_concentration",277.310308838636,"ppmv CO2",1
"SSP1-1.9",1751,"CO2_concentration",277.336908062295,"ppmv CO2",1
"SSP1-1.9",1752,"CO2_concentration",277.363169644063,"ppmv CO2",1
"SSP1-1.9",1753,"CO2_concentration",277.38941433811,"ppmv CO2",1
"SSP1-1.9",1754,"CO2_concentration",277.415447900185,"ppmv CO2",1
"SSP1-1.9",1755,"CO2_concentration",277.440831813159,"ppmv CO2",1
"SSP1-1.9",1756,"CO2_concentration",277.465098317226,"ppmv CO2",1
"SSP1-1.9",1757,"CO2_concentration",277.483044240012,"ppmv CO2",1
"SSP1-1.9",1758,"CO2_concentration",277.495741409823,"ppmv CO2",1
"SSP1-1.9",1759,"CO2_concentration",277.513454878722,"ppmv CO2",1
"SSP1-1.9",1760,"CO2_concentration",277.536290354611,"ppmv CO2",1
"SSP1-1.9",1761,"CO2_concentration",277.561515685111,"ppmv CO2",1
"SSP1-1.9",1762,"CO2_concentration",277.58754439851,"ppmv CO2",1
"SSP1-1.9",1763,"CO2_concentration",277.591706856317,"ppmv CO2",1
"SSP1-1.9",1764,"CO2_concentration",277.570641305428,"ppmv CO2",1
"SSP1-1.9",1765,"CO2_concentration",277.564652933761,"ppmv CO2",1
"SSP1-1.9",1766,"CO2_concentration",277.58163269777,"ppmv CO2",1
"SSP1-1.9",1767,"CO2_concentration",277.603391975773,"ppmv CO2",1
"SSP1-1.9",1768,"CO2_concentration",277.616673869807,"ppmv CO2",1
"SSP1-1.9",1769,"CO2_concentration",277.632262110308,"ppmv CO2",1
"SSP1-1.9",1770,"CO2_concentration",277.658877895099,"ppmv CO2",1
"SSP1-1.9",1771,"CO2_concentration",277.689110267629,"ppmv CO2",1
"SSP1-1.9",1772,"CO2_concentration",277.718224981832,"ppmv CO2",1
"SSP1-1.9",1773,"CO2_concentration",277.749589301385,"ppmv CO2",1
"SSP1-1.9",1774,"CO2_concentration",277.783121771517,"ppmv CO2",1
"SSP1-1.9",1775,"CO2_concentration",277.816597366504,"ppmv CO2",1
"SSP1-1.9",1776,"CO2_concentration",277.849038195702,"ppmv CO2",1
"SSP1-1.9",1777,"CO2_concentration",277.880937403708,"ppmv CO2",1
"SSP1-1.9",1778,"CO2_concentration",277.911942279333,"ppmv CO2",1
"SSP1-1.9",1779,"CO2_concentration",277.941912307453,"ppmv CO2",1
"SSP1-1.9",1780,"CO2_concentration",277.971239979702,"ppmv CO2",1
"SSP1-1.9",1781,"CO2_concentration",278.000113103053,"ppmv CO2",1
